BookId,Book Name,Genre,Publication Year,URL,Writer Name,Review,Pages,Ratings,Keywords
BK001,The Book Thief,Science Fiction,1879,https://en.wikipedia.org/wiki/The_Book_Thief,J.D. Salinger,"To Kill a Mockingbird is a profound exploration of race, morality, and justice in the American South. Written by Harper Lee, the novel follows young Scout Finch and her brother Jem as they witness their father, Atticus Finch, defend a black man falsely accused of raping a white woman. The story is filled with themes of prejudice, empathy, and the loss of innocence. Lee’s portrayal of the complexities of human nature and the importance of standing up for what is right makes this novel a powerful and enduring classic. The characters are well-drawn, and the themes remain relevant in today’s society.",296,3.1,"book thief, markus zusak, liesel meminger, nazi germany, world war ii, death narrator, books, resilience"
BK002,The Picture of Dorian Gray,Dystopian,2014,https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray,Harper Lee,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",267,2.6,"the picture of dorian gray, harper lee, dystopian, picture, dorian, story, characters, themes"
BK003,The Book Thief,Romance,2006,https://en.wikipedia.org/wiki/The_Book_Thief,Charlotte Brontë,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",219,1.1,"book thief, markus zusak, liesel meminger, nazi germany, world war ii, death narrator, books, resilience"
BK004,Frankenstein,Mystery,1894,https://en.wikipedia.org/wiki/Frankenstein,Leo Tolstoy,"The Catcher in the Rye is a powerful coming-of-age novel that captures the struggles of adolescence. Written by J.D. Salinger, the story follows Holden Caulfield, a disillusioned teenager who feels disconnected from the world around him. The novel explores themes of alienation, identity, and the loss of innocence. Holden’s inner turmoil is conveyed with raw emotion, making it a deeply personal and relatable story for many readers. Salinger’s portrayal of the complexity of adolescence remains compelling and relevant, making the novel a touchstone for generations of young readers.",667,3.1,"frankenstein, leo tolstoy, mystery, story, characters, themes"
BK005,The Road,Mystery,1803,https://en.wikipedia.org/wiki/The_Road_(novel),George Orwell,"The Hobbit is a captivating fantasy novel that takes readers on a journey through the fictional world of Middle-earth. Written by J.R.R. Tolkien, it follows the adventures of Bilbo Baggins, a hobbit who is reluctantly drawn into a quest to reclaim treasure from the dragon Smaug. The novel is filled with vivid descriptions of landscapes, creatures, and mythical beings, making it an immersive read. The characters are richly developed, with Bilbo's transformation from a shy, unassuming hobbit to a courageous hero being particularly compelling. The book also explores themes of bravery, friendship, and the struggle between good and evil. Overall, The Hobbit is a timeless classic that has captivated generations of readers and continues to be a must-read for fantasy enthusiasts.",855,1.8,"the road, george orwell, mystery, road, story, characters, themes"
BK006,Dracula,Fantasy,1957,https://en.wikipedia.org/wiki/Dracula,Charlotte Brontë,"Pride and Prejudice is a timeless romance novel that deftly explores the intricacies of love, class, and society. Written by Jane Austen, it follows the relationship between the strong-willed Elizabeth Bennet and the aloof Mr. Darcy. The novel is filled with witty dialogue, insightful observations, and memorable characters. Austen masterfully critiques the social norms of the time, particularly regarding marriage and class, while creating a story that still resonates with readers today. Elizabeth and Darcy’s evolving relationship is at the heart of the story, making it an enduring classic of English literature.",489,3.6,"dracula, charlotte brontë, fantasy, story, characters, themes"
BK007,The Kite Runner,Historical,1985,https://en.wikipedia.org/wiki/The_Kite_Runner,J.R.R. Tolkien,"The Outsiders is a gripping story of class conflict, friendship, and growing up. Written by S.E. Hinton, the novel follows the lives of two rival groups: the Greasers and the Socs. Through the eyes of Ponyboy Curtis, the reader is drawn into the struggles of adolescence, including issues of identity, loyalty, and violence. Hinton’s portrayal of the complexity of youth, and the tension between social classes, makes this novel both compelling and thought-provoking. The Outsiders remains a poignant reminder of the challenges of growing up and the importance of finding one’s place in the world.",627,2.2,"the kite runner, j.r.r. tolkien, historical, kite, runner, story, characters, themes"
BK008,The Great Gatsby,Fiction,1851,https://en.wikipedia.org/wiki/The_Great_Gatsby,Fyodor Dostoevsky,"The Great Gatsby is a mesmerizing portrayal of the American Dream gone awry. F. Scott Fitzgerald’s novel is set in the Jazz Age, a time of excess, decadence, and ambition. The story centers on Jay Gatsby, a mysterious millionaire who throws extravagant parties in the hopes of rekindling a lost romance with Daisy Buchanan. Through the eyes of narrator Nick Carraway, we see the emptiness beneath the glittering facade of wealth and privilege. The novel examines themes of love, class, and the fleeting nature of happiness, with Fitzgerald’s lyrical prose adding to the haunting beauty of the story.",576,2,"the great gatsby, f. scott fitzgerald, jay gatsby, nick carraway, new york, american dream, jazz age, wealth"
BK009,A Wrinkle in Time,Mystery,1990,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,Harper Lee,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",380,4.4,"a wrinkle in time, harper lee, mystery, wrinkle, time, story, characters, themes"
BK010,The Shining,Fiction,2009,https://en.wikipedia.org/wiki/The_Shinig,Fyodor Dostoevsky,"The Secret Garden is a heartwarming novel by Frances Hodgson Burnett that tells the story of Mary Lennox, a spoiled and lonely girl who discovers a hidden, magical garden. As Mary transforms the garden, she also transforms herself and the lives of those around her. The novel is filled with themes of personal growth, friendship, and the healing power of nature. Burnett’s writing is gentle yet powerful, and the story’s message of hope and renewal resonates with readers of all ages. The Secret Garden is a classic tale of redemption and the power of kindness.",839,4.9,"the shining, fyodor dostoevsky, fiction, shining, story, characters, themes"
